path,frame_number,video_id,objects_path,id
C:\AIC-2024-DATA\frames\L02_V027\0.jpg,0,L02_V027,,0
C:\AIC-2024-DATA\frames\L02_V027\1323.jpg,1323,L02_V027,,1
C:\AIC-2024-DATA\frames\L02_V027\1358.jpg,1358,L02_V027,,2
C:\AIC-2024-DATA\frames\L02_V027\1449.jpg,1449,L02_V027,,3
C:\AIC-2024-DATA\frames\L02_V027\1519.jpg,1519,L02_V027,,4
C:\AIC-2024-DATA\frames\L02_V027\1547.jpg,1547,L02_V027,,5
C:\AIC-2024-DATA\frames\L02_V027\1582.jpg,1582,L02_V027,,6
C:\AIC-2024-DATA\frames\L02_V027\1631.jpg,1631,L02_V027,,7
C:\AIC-2024-DATA\frames\L02_V027\1659.jpg,1659,L02_V027,,8
C:\AIC-2024-DATA\frames\L02_V027\1673.jpg,1673,L02_V027,,9
C:\AIC-2024-DATA\frames\L02_V027\1806.jpg,1806,L02_V027,,10
C:\AIC-2024-DATA\frames\L02_V027\1855.jpg,1855,L02_V027,,11
C:\AIC-2024-DATA\frames\L02_V027\1918.jpg,1918,L02_V027,,12
C:\AIC-2024-DATA\frames\L02_V027\1981.jpg,1981,L02_V027,,13
C:\AIC-2024-DATA\frames\L02_V027\2044.jpg,2044,L02_V027,,14
C:\AIC-2024-DATA\frames\L02_V027\2079.jpg,2079,L02_V027,,15
C:\AIC-2024-DATA\frames\L02_V027\2142.jpg,2142,L02_V027,,16
C:\AIC-2024-DATA\frames\L02_V027\2156.jpg,2156,L02_V027,,17
C:\AIC-2024-DATA\frames\L02_V027\2212.jpg,2212,L02_V027,,18
C:\AIC-2024-DATA\frames\L02_V027\2373.jpg,2373,L02_V027,,19
C:\AIC-2024-DATA\frames\L02_V027\2394.jpg,2394,L02_V027,,20
C:\AIC-2024-DATA\frames\L02_V027\2457.jpg,2457,L02_V027,,21
C:\AIC-2024-DATA\frames\L02_V027\2485.jpg,2485,L02_V027,,22
C:\AIC-2024-DATA\frames\L02_V027\2555.jpg,2555,L02_V027,,23
C:\AIC-2024-DATA\frames\L02_V027\2618.jpg,2618,L02_V027,,24
C:\AIC-2024-DATA\frames\L02_V027\2667.jpg,2667,L02_V027,,25
C:\AIC-2024-DATA\frames\L02_V027\273.jpg,273,L02_V027,,26
C:\AIC-2024-DATA\frames\L02_V027\280.jpg,280,L02_V027,,27
C:\AIC-2024-DATA\frames\L02_V027\2800.jpg,2800,L02_V027,,28
C:\AIC-2024-DATA\frames\L02_V027\2807.jpg,2807,L02_V027,,29
C:\AIC-2024-DATA\frames\L02_V027\2821.jpg,2821,L02_V027,,30
C:\AIC-2024-DATA\frames\L02_V027\294.jpg,294,L02_V027,,31
C:\AIC-2024-DATA\frames\L02_V027\301.jpg,301,L02_V027,,32
C:\AIC-2024-DATA\frames\L02_V027\329.jpg,329,L02_V027,,33
C:\AIC-2024-DATA\frames\L02_V027\3325.jpg,3325,L02_V027,,34
C:\AIC-2024-DATA\frames\L02_V027\343.jpg,343,L02_V027,,35
C:\AIC-2024-DATA\frames\L02_V027\35.jpg,35,L02_V027,,36
C:\AIC-2024-DATA\frames\L02_V027\3626.jpg,3626,L02_V027,,37
C:\AIC-2024-DATA\frames\L02_V027\364.jpg,364,L02_V027,,38
C:\AIC-2024-DATA\frames\L02_V027\3675.jpg,3675,L02_V027,,39
C:\AIC-2024-DATA\frames\L02_V027\3787.jpg,3787,L02_V027,,40
C:\AIC-2024-DATA\frames\L02_V027\3829.jpg,3829,L02_V027,,41
C:\AIC-2024-DATA\frames\L02_V027\3906.jpg,3906,L02_V027,,42
C:\AIC-2024-DATA\frames\L02_V027\3913.jpg,3913,L02_V027,,43
C:\AIC-2024-DATA\frames\L02_V027\399.jpg,399,L02_V027,,44
C:\AIC-2024-DATA\frames\L02_V027\4011.jpg,4011,L02_V027,,45
C:\AIC-2024-DATA\frames\L02_V027\4060.jpg,4060,L02_V027,,46
